Модель,Номер модели,Наименование,Тип вагона,Дополнительная характеристика,Особенность модели,Учётная специализация модели,Завод-изготовитель,Материал кузова,Тележка,Осность вагона,Ширина колеи,Наличие переходной площадки,Наличие стояночного тормоза,Конструкционная скорость,Тара вагона (минимальная),Тара вагона (максимальная),Грузоподъёмность,Объём,Площадь пола,Высота,Ширина,Длина,Габарит по ГОСТ 9238-2013,Длина по осям автосцепок,Размер дверного проёма,Год начала серийного производства,Нормативный срок службы,url,Номер проекта,Технические условия,Возможность установки буферов,Максимальная расчетная статическая нагрузка от колесной пары на рельсы,Максимальная расчетная погонная нагрузка,База вагона,Грузоподъёмность секции,База секции,Объём одной секции,Площадь пола секции вагона,Габарит по ГОСТ 9238-2013 при закрытой крыше,Габарит по ГОСТ 9238-2013 при открытой крыше,Высота от уровня головки рельса,Максимальная ширина,Высота автосцепки от уровня головки рельса,Количество верхних люков,Описание на сайте завода-изготовителя,Высота по боковой стене,Высота по осевому сечению,Диаметр печной разделки,Длина по раме,Высота пола от уровня головки рельса,Размер загрузочного люка в боковой стене,Удельная материалоёмкость,Диаметр загрузочного люка,Высота от настила пола до крыши,Год окончания серийного производства,Удельный объём,Минимальный радиус вписывания в кривую,Полный объём кузова с учётом подкрышного пространства,Геометрический объём кузова до верхней обвязки,Геометрический объём кузова до пересечения с крышей,Возможна перестанока на колею,Коэффициент тары вагона,Код СМГС 1,Угол наклона кузова при разгрузке,Количество разгрузочных цилиндров,Рабочее давление разгрузочных цилиндров,Ширина кузова внутри внизу,Длина кузова в нижней части,Высота бортов,Количество поддонов,Длина поддона,Ширина поддона,Высота поддона,Количество разгрузочных люков,Количество загрузочных люков,Размеры разгрузочного люка в свету,Размер загрузочных люков в свету,Угол наклона торцевых стенок бункеров,Длина кузова в верхней части,Объём кузова,Ширина максимальная по стойкам,Наличие торцевых дверей,Количество загрузочных люков в боковой стене,"Размер загрузочного люка в боковой стене в свету (длина, ширина)",Объём кузова до уровня люков,Объем кузова полный с учетом объема крыши,Угол наклона торцевых стенок,Количество бункеров,Угол наклона пола бункеров,Давление воздуха в разгрузочной магистрали,Наличие разгрузочных люков,Высота от уровня верха головок рельсов по верхним обвязкам кузова,Тара вагона,Группа вагонов,Удельная площадь,Количество продольных бортов,Количество торцовых бортов,Количество опрокидывающихся упоров,Высота продольных бортов,Высота торцевых бортов,Габарит тележки,Габарит кузова,Количество стационарных упоров,Ширина пола с открытыми бортами,Высота от уровня верха головок рельсов до уровня пола,Количество упоров для крепления контейнеров,Длина пола с открытыми бортами,Количество стоек,Длина перевозимого груза,Расчетный объем погрузочного пространтва,Длина перевозимых заготовок,"Размеры сечений заготовок, круглого","Размеры сечений заготовок, прямоугольного",Разгрузочный объем погрузочного пространства,Высота торцовых бортов,Код СМГС 2,Конструкционная скорость в порожнем состоянии,Конструкционная скорость в груженом состоянии,Размер разгрузочных люков в свету,Угол открывания средних крышек люков,Угол открывания крышек люков над тележками,Угол открывания крышек люков над тормозным цилиндром,Высота от уровня головки рельса до нижней обвязки,Размер зачистного люка,Система торможения,Высота от уровня верха головок рельсов до уровня верха рамы,Количество торцевых дверей,Ширина дверного проема при открытых дверях,Калибровка котла,Объем полезный,Объем бункера полный,Объем бункера полезный,Угол наклона боковой стенки бункера к горизонту при разгрузке,Длина бункера,Ширина бункера по верху,Высота бункера,Объем полный,Угол наклона торцевой стены,Угол наклона стены бункера,Объем котла полный,Объем котла полезный,Диаметр котла внутренний,Длина котла наружная,"Давление, создаваемое в котле при гидравлическом испытании",Количество наружных лестниц,Количество внутренних лестниц,Максимально допустимая температура загружаемого продукта,Способ налива,Способ слива,"Длина котла наружная, с парообогревательной рубашкой",Рабочее давление в котле,Рабочее давление в системе разогрева,Давление настройки предохранительного клапана,Условное рабочее давление в котле (по регулировке предохранительного клапана),Количество секций котла,Уклон котла к сливному прибору,Наличие парообогревательной рубашки,Наличие предохрантительно-впускного клапана,Внешнее избыточное давление по регулировке впускного клапана,Рабочее давление в котле при разгрузке,Наличие теплоизоляции,Наличие теневой защиты,Наличие системы разогрева,Объём полный котла каждой секции,Объем одной емкости,Наличие экрана днища,Наличие защитных дуг,Давление в котле при разгрузке,Наличие внутрениних лестниц,Источник тепла,Длина котла наружная с кожухом,Максимальная степень наполнения,Способ налива и слива,Потребляемая мощность при разогреве,Наличие предохранительного клапана,Время сохранения груза в жидком состоянии,Ширина рамы по концевым балкам,Ширина рамы по шкворневым балкам,Рабочее давление в котле (при температуре продукта 50 °С),Объём котла МЭГ,Производительность выгрузки,Толщина теплоизоляции,Допускаемая температура загружаемого продукта,Количество лазовых люков,Длина котла наружная без кожуха,Напряжение питания электронагревателя,Рабочая температура в котле,Наличие смотрового люка,Длина котла наружная с изоляцией,Наличие пароразогрева,Давление в системе разогрева при гидроиспытании,Максимальное давление в системе разогрева,Наличие наружных лестниц,Наличие электрооборудования для разогрева продукта,Наличие кожуха изоляции,Наличие предохранительной мембраны,Количество аэролотков,Диаметр лазового люка,Диаметр разгрузочного патрубка,Угол наклона откоса к горизонту,Давление в котле при загрузке,Количество стационарных опор,Количество опор,Наличие внутренних лестниц,Теплоноситель,Наличие изоляции,Наличие впускного клапана,Количество технологических люков,Скорость равномерного разогрева продукта по всей поверхности котла,Наличие теплообменника котла,Количество аэроднищ,Количество аэроплиток,Угол наклона бункеров к горизонту,Давление в котле при транспортировке,Источник питания,Количество смотровых люков,Угол наклона аэролотков к горизонту,Температура при наливе,Коэффициент теплопередачи кузова,Расчётный диапазон температуры в грузовом помещении,Расчётный срок перевозки скоропортящихся грузов в вагоне,Наличие дверей,Высота от УВГ до опор фитингов,Высота от УГР до верха опорных плит с упорами,Высота от УГР до опорной поверхности контейнера,Разгрузка вагона,Угол наклона бункеров,Привод механизма разгрузки,Масса колпака,Количество ложементов для рулонной стали,Длина кузова внутри,Длина по верхней обвязке,Высота от уровня верха головок рельсов до разгрузочных устройств,Ширина максимальная по крыше,Ширина кузова внутри вверху,Класс поглощающего аппарата по ГОСТ 32913,Высота от УГР до разгрузочных устройств,Угол наклона стены торцевой внутренней,Угол наклона конька поперечного,Максимальная ширина платформы с грузом в горизонтальном положении,Максимальная ширина платформы с грузом в горизонтальном положении от продольной оси пути,Угол плоскости повортной рамы относительно горизонта,Количество цилиндров поворота,Ширина перевозимых заготовок,Толщина перевозимых заготовок,Количество цилиндров опрокидывания,Механизм разгрузки,Тип механизма разгрузки,Количество запорно-пломбировочных устройств,Конструкционная скорость на путях промышленного транспорта в груженом состоянии,Высота стоек от уровня пола,Ширина наружная (по раме),Объём кузова для глинозема,Объём кузова для алюминия,Высота от УГР до верха поперечных стоек под лесоматериалы,Общая площадь загрузочных люков,Общая площадь разгрузочных люков,Наличие вибраторов на разгрузочных люках,Блокировка открытия загрузочных люков с переходной площадки,Наличие бортов,Длина по лобовым листам,Угол наклона днищ бункеров,Максимальное давление в пневмомагистрали,Выгрузка вагона,Перевозимые легковые автомобили длиной до 3100 мм,Перевозимые легковые автомобили длиной до 3550 мм,Перевозимые легковые автомобили длиной до 4150 м,Перевозимые легковые автомобили длиной до 5000 мм,Перевозимые легковые автомобили длиной до 6200 мм,Размеры погрузочной площадки,Размеры загрузочного люка в свету,Количество торцевых стен,Вид разгрузки,Наличие переходной площадки с ручным тормозом,Наличие вентиляционных окон на боковых стенах,Ширина колпака по боковым стенкам,Высота колпака максимальная,Высота колпака без захватов,Высота опор над уровнем пола,Высота стационарных опор над уровнем пола,Высота передвижных опор над уровнем пола,Количество передвижных опор,Количество перевозимых рулонов,Диаметр перевозимых рулонов,Ширина перевозимых рулонов,Температура загружаемого груза,Наличие торцевых стен,Количество наружных крышек люков,Количество внутренних крышек люков,Высота дозирования выше головок рельс,Высота дозирования ниже головок рельс,"Расстояние от низа дозатора до головок рельс, не менее",Размер проёма наружного разгрузочного люка в свету,Размер проёма внутреннего разгрузочного люка в свету,Количество цилиндров разгрузочно-дозирующего механизма,Длина погрузочной площадки,Высота от УГЦ до грузовой площадки,Высота от УГЦ до переездной площадки,Количество переездных площадок,"Верхние размеры кузова вверху,длина","Верхние размеры кузова вверху, ширина",Диаметр опорных штырей,Наличие крыши,Длина колпака максимальная,Наличие дверного проема,Ширина внутренняя (по стойкам),Количество емкостей,Рабочее давление в емкости при разгрузке,Наружный диаметр емкости,Внутренние размеры кузова,Количество ярусов,Количество перевозимых автобусов,Высота кузова внутри,Максимальное давление воздуха в рабочей сети,Число рабочих цилиндров разгрузочно-дозирующих механизмов,Размер наружного разгрузочного люка в свету,Размер внутреннего разгрузочного люка в свету,Количество передвижных секций,Материал емкостей,Наличие отделения для проводника,Вместимость баков для воды,Энергоемкость вагона,Угол наклона крышек разгрузочных люков к горизонту,Внутренний диаметр емкости,Диаметр разгрузочного люка в свету,Размер дверного проёма в свету,Габарит с установленными бегунками,Габарит со снятыми бегунками,Высота подъёма кузова над нижней рамой при разгрузке на эстакаде,Необходимое давление воздуха в разгрузочной магистрали,Угол наклона секций к горизонту,Внутренние размеры кузова по низу,Внутренние размеры кузова по верху в транспортном положении,Внутренние размеры кузова по верху в рабочем положении,Конструкционная скорость на путях общего пользования в порожнем состоянии,Конструкционная скорость на путях промышленного транспорта в порожнем состоянии,Скорость при разгрузке
11-5225,2016.0,Крытый вагон,Универсальный крытый 4-осный вагон,Характеристики не содержит,С уширенными дверными проемами,крытый универсальный,"Акционерное общество ""Научно-производственная корпорация ""Уралвагонзавод"" имени Ф.Э. Дзержинского (клеймо 5)","10ХНДП,10ХСНД,09Г2С,09Г2Д,09Г2,09Г2СД",18-194-1,4.0,1520 мм,Нет,Есть,120 км/ч,27.0 т,28.0 т,72.0 т,180.0 м3,"52,9 м2",3030 мм,2880 мм,18392 мм,1-Т,19510 мм,4150x2862 мм,2022.0,32 года,https://vagon.by/model/11-5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2151,1958.0,Вагон крытый сочленённого типа с раскрывающейся крышей,Крытый вагон сочлененного типа с раскрывающейся крышей,Характеристики не содержит,"Сочлененного типа, с раскрывающейся крышей",крытый универсальный,Акционерное общество Алтайского вагоностроения (клеймо 22),"10ХНДП,10ХСНД,09Г2С,09Г2Д,09Г2,09Г2СД",18-2129,6.0,1520 мм,Нет,Есть,120 км/ч,47.0 т,48.0 т,93.0 т,230.0 м3,"68,6 м2",2976 мм,2684 мм,12720 мм,1-Т,28520 мм,3802x2334 мм,2021.0,32 года,https://vagon.by/model/11-2151,2151.00.000,2151.00.000 ТУ,Нет,230.3 кН,48.5 кН/м,21360 мм,"46,5 т",10680 мм,115 м3,"34,3 м2",1-Т,Сп,4798 мм,3289 мм,1040..1080 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1268,1982.0,Крытый вагон,Универсальный крытый 4-осный вагон,Характеристики не содержит,"Крытый цельномет. пол, уширенные дв. проемы, вент. люки в боковых стенах",крытый универсальный,"Открытое акционерное общество ""Рузаевский завод химического машиностроения"" (клеймо 1167)","09Г2С, 09Г2Д, 09Г2, 09Г2СД-12",9,4.0,1520 мм,Нет,Есть,,25.0 т,26.0 т,68.0 т,174.0 м3,,,,,1-Т,19500 мм,,2021.0,32 года,https://vagon.by/model/11-1268/1982,,,,230.3 кН,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-9983,1985.0,Крытый вагон,4-осный крытый вагон с объёмом кузова 150-158 куб.м. без переходной площадки,С объемом кузова 150-158 куб.м. без переходной площадки,С уширенными дверными проемами и дополнительными внутренними распашными дверями,крытый универсальный,Общество с ограниченной ответственностью «Опытно-механический завод «Карпаты» (Украина) (клеймо 1383),"09Г2С, 09Г2Д, 09Г2, 09Г2СД-12",18-1750,4.0,1520 мм,Нет,Есть,120 км/ч,26.0 т,27.1 т,66.5 т,162.0 м3,"48,6 м2",3060 мм,2780 мм,17494 мм,1-ВМ,18720 мм,4310x2860 мм,2021.0,32 года,https://vagon.by/model/11-9983,,ТУ У 30.2-37958251-017:2020,Нет,230.3 кН,49.2 кН/м,13500 мм,,,,,,,4595 мм,3230 мм,1040..1080 мм,4.0,https://dmz-karpaty.com/ru/services/car-building/11-9983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-9983-01,1986.0,Крытый вагон,4-осный крытый вагон с объёмом кузова 150-158 куб.м. без переходной площадки,С объемом кузова 150-158 куб.м. без переходной площадки,С уширенными дверными проемами,крытый универсальный,Общество с ограниченной ответственностью «Опытно-механический завод «Карпаты» (Украина) (клеймо 1383),"09Г2С, 09Г2Д, 09Г2, 09Г2СД-12",9,4.0,1520 мм,Нет,Есть,,24.1 т,26.0 т,67.9 т,162.0 м3,,,,,1-ВМ,18720 мм,,2021.0,32 года,https://vagon.by/model/11-9983-01,,,,230.3 кН,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2164,1987.0,Крытый вагон,4-осный крытый вагон с объёмом кузова 150-158 куб.м. без переходной площадки,С объемом кузова 150-158 куб.м. без переходной площадки,С уширенными дверными проемами,крытый универсальный,Акционерное общество Алтайского вагоностроения (клеймо 22),"10ХНДП,10ХСНД,09Г2С,09Г2Д,09Г2,09Г2СД",18-2128,4.0,1520 мм,Нет,Есть,120 км/ч,25.1 т,26.0 т,68.0 т,161.0 м3,"49,3 м2",2935 мм,2786 мм,17694 мм,1-Т,18870 мм,4118x2478 мм,2021.0,32 года,https://vagon.by/model/11-2164,2164.00.000,2164.00.000 ТУ,,230.3 кН,48.8 кН/м,14140 мм,,,,,,,4797 мм,3286 мм,1040..1080 мм,,http://altaivagon.ru/product_krytye#,2935 мм,3462 мм,130 мм,17700 мм,1234 мм,614x365 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-6999,1936.0,Крытый вагон,4-осный крытый вагон с объёмом кузова 150-158 куб.м. без переходной площадки,С объемом кузова 150-158 куб.м. без переходной площадки,С уширенными дверными проемами,крытый универсальный,"Общество ограниченной ответственности ""Вагоностроительная компания"" г. Рустави (клеймо 1282)","09Г2С, 09Г2Д, 09Г2, 09Г2СД-12",18-1750 или 18-100,4.0,1520 мм,Нет,,120 км/ч,25.0 т,26.0 т,68.0 т,158.0 м3,"49,3 м2",2820 мм,2743 мм,17602 мм,1-ВМ,18840 мм,3973x2754 мм,2020.0,32 года,https://vagon.by/model/11-6999,,ТУ 3182-008-216406271-2018,,230.5 кН,,13140 мм,,,,,,,,,1040..1080 мм,,,,,,17680 мм,,,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1807-01,1939.0,Крытый вагон,4-осный крытый вагон с объёмом кузова 150-158 куб.м. без переходной площадки,С объемом кузова 150-158 куб.м. без переходной площадки,С уширенными дверными проемами,крытый универсальный,"Общество с ограниченной ответственностью ""АЗОВВАГОН"" (клеймо 2161)","09Г2С, 09Г2Д, 09Г2, 09Г2СД-12",9,4.0,1520 мм,Нет,,,24.1 т,26.0 т,68.0 т,165.0 м3,,,,,1-ВМ,18840 мм,,2020.0,32 года,https://vagon.by/model/11-1807-01/1939,,,,230.3 кН,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-7139,1940.0,Крытый вагон,4-осный крытый вагон с объёмом кузова 150-158 куб.м. без переходной площадки,С объемом кузова 150-158 куб.м. без переходной площадки,С уширенными дверными проемами,крытый универсальный,"Публичное акционерное общество ""Крюковский вагоностроительный завод"" (клеймо 27)","09Г2С, 09Г2Д, 09Г2, 09Г2СД-12",18-7055,4.0,1520 мм,Нет,Есть,120 км/ч,26.1 т,28.0 т,65.7 т,161.0 м3,"48,8 м2",3106 мм,2768 мм,17492 мм,1-ВМ,18720 мм,3840x2795 мм,2020.0,32 года,https://vagon.by/model/11-7139,,,,230.5 кН,,13500 мм,,,,,,,,,1040..1080 мм,,http://www.kvsz.com/index.php/ua/produktsiya/vantazhne-vagonobuduvannya/kriti-vagoni/item/2618-krytyi-vahon-mod-11-7139,3106 мм,,,,1240 мм,1592x562 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2163,1952.0,Крытый вагон,4-осный крытый вагон с объёмом кузова 150-158 куб.м. без переходной площадки,С объемом кузова 150-158 куб.м. без переходной площадки,С уширенными дверными проемами,крытый универсальный,Акционерное общество Алтайского вагоностроения (клеймо 22),"10ХНДП,10ХСНД,09Г2С,09Г2Д,09Г2,09Г2СД",18-2129,4.0,1520 мм,Нет,,120 км/ч,25.1 т,26.0 т,68.0 т,161.0 м3,"49,3 м2",2935 мм,2786 мм,17694 мм,1-Т,18870 мм,4118x2748 мм,2020.0,32 года,https://vagon.by/model/11-2163,2163.00.000,2163.00.000 ТУ,,230.5 кН,48.8 кН/м,14140 мм,,,,,,,4814 мм,3286 мм,1040..1080 мм,,,,,,17700 мм,1244 мм,614x365 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крытые вагоны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
