Код пред­прия­тия,Название пред­прия­тия,Краткое название пред­прия­тия
3,Днепропетровский металлургический завод,Днепропетровский МРГЗ
4,"Акционерное общество ""Вологодский вагоноремонтный завод""","АО ""Вологодский ВРЗ"""
5,"Акционерное общество ""Научно-производственная корпорация ""Уралвагонзавод"" имени Ф.Э. Дзержинского","АО ""НПК""Уралвагонзавод"""""
6,Открытое акционерное общество МТЗ ТРАНСМАШ,ОАО МТЗ ТРАНСМАШ
7,"Общество с ограниченной ответственностью ""ВП Изюмский тепловозоремонтный завод""","ООО ""ВП ИТРЗ"""
8,"Открытое акционерное общество ""ЕВРАЗ Нижнетагильский металлургический комбинат""","ОАО ""ЕВРАЗ НТМК"""
9,"Акционерное общество ""Управляющая компания ""Брянский машиностpоительный завод""","АО ""УК ""БМЗ"""
10,Алатырский механический завод,Алатырский МЗ
11,"Акционерное общество ""Красноярский электровагоноремонтный завод""","АО ""КрЭВРЗ"""
12,"Акционерное общество ""Производственное объединение ""Бежицкая сталь""","АО ""ПО ""Бежицкая сталь"""
13,"Харьковский завод ""Серп и молот""","Харьковский завод ""Серп и молот"""
14,"Публичное акционерное общество ""Кременчугский сталелитейный завод""","ПАО ""КСЗ"""
15,"Открытое акционерное общество ""Демиховский машиностроительный завод""","ОАО ""ДМЗ"""
16,"Акционерное общество ""Пермский мотовозоремонтный завод ""Ремпутьмаш""","АО ""Пермский МРЗ ""Ремпутьмаш"""
17,"Общество с ограниченной ответственностью ""Полтавский тепловозоремонтный завод""","ООО ""ПТРЗ"""
18,"Акционерное общество ""Выксунский металлургический завод""","АО ""ВМЗ"""
19,"Ростовский-на-Дону электровозоремонтный завод - филиал Акционерного общества ""Желдорреммаш""",Ростовский-на-Дону ЭРЗ АО Желдорреммаш
20,"Публичное акционерное общество ""ИНТЕРПАЙП НИЖНЕПРЕДНЕПРОВСКИЙ ТРУБОПРОКАТНЫЙ ЗАВОД""","ПАО ""ИНТЕРПАЙП НТЗ"""
21,"Акционерное общество ""Электровагоноремонтный завод""","АО ""ЭВРЗ"""
22,Акционерное общество Алтайского вагоностроения,"АО ""Алтайвагон"""
23,"Публичное акционерное общество ""Лугансктепловоз""","ПАО ""Лугансктепловоз"""
24,Завод им.Лепсе г.Санкт - Петербург,Завод им.Лепсе
25,"Вагоноремонтное депо Чита-структурное подразделение Забайкальской дирекции инфраструктуры-структурного подразделения Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВРД Чита ОАО ""РЖД"""
26,"Ярославский электровозоремонтный завод - филиал Акционерного общества ""Желдорреммаш""","Ярославский ЭЛРЗ АО ""Желдорреммаш"""
27,"Публичное акционерное общество ""Крюковский вагоностроительный завод""","ПАО ""КВСЗ"""
28,"Иркутский завод ""Тяжмаш""","Иркутский завод ""Тяжмаш"""
29,"Публичное акционерное общество ""Днепровский металлургический комбинат"" (г. Каменское, Украина)","ПАО ""ДМК"""
30,"Открытое акционерное общество ""Подъёмтрансмаш""","ОАО ""Подъёмтрансмаш"""
31,"Закрытое акционерное общество ""Гомельский вагоностроительный завод""","ЗАО ""Гомельский ВСЗ"""
32,Вагоноремонтный завод Сердар,Сердар ВРЗ
33,"Общество с ограниченной ответственностью ""Промлит""","ООО ""Промлит"""
34,"Акционерное общество ""Мичуринский локомотиворемонтный завод ""Милорем""","АО ""МЛРЗ ""Милорем"""
35,"Открытое акционерное общество ""Чебоксарский агрегатный завод""","ОАО ""Чебоксарский агрегатный завод"""
36,"ЧАО ""Днепропетровский тепловозоремонтный завод""",Днепропетровский ТРЗ
37,"Открытое акционерное общество холдинговая компания ""Коломенский завод""","ОАО ""Коломенский завод"""
38,"Акционерное общество ""Кировский машзавод 1 Мая""","АО ""КМЗ 1 Мая"""
39,"Открытое акционерное общество ""Люблинский литейно-механический завод""","ОАО ""Люблинский ЛМЗ"""
40,"ОАО ""Кулебакский металлургический завод""",Кулебакский МРГЗ
42,"Уссурийский локомотиворемонтный завод - филиал Акционерного общества ""Желдорреммаш""","Уссурийский ЛРЗ АО ""Желдорреммаш"""
44,"Оренбургский локомотиворемонтный завод - филиал акционерного общества ""Желдорреммаш""","Оренбургский ЛРЗ АО ""Желдорреммаш"""
45,"Ташкентский тепловозоремонтный завод УП ""Узжелдорреммаш"" ГАЖК Узбекистон темир йуллари",ТашТВРЗ
47,"Открытое акционерное общество ""Тихорецкий машиностроительный завод имени В.В. Воровского""","ОАО ""ТМЗ им.В.В.Воровского"""
49,"ОАО ""Одесский механический завод ""ОДМЕЗ""",Одесский МЗ
52,"ОАО ""Метровагонмаш"", г. Мытищи","ОАО ""Метровагонмаш"""
53,"ЧАО ""Запорожский электровозоремонтный завод""",Запорожский ЭВРЗ
54,"Астраханский тепловозоремонтный завод - филиал Акционерного общества ""Желдорреммаш""","Астраханский ТРЗ АО ""Желдорреммаш"""
55,"Общество с ограниченной ответственностью ""Великолукский локомотиворемонтный завод""","ООО ""ВЛВРЗ"""
56,Невский завод им.Ленина,Невский завод им.Ленина
57,"ОАО ""Уфимский тепловозоремонтный завод""",Уфимский ТРЗ
60,"Улан-Удэнский локомотивовагоноремонтный завод - филиал Акционерного общества ""Желдорреммаш""","Улан-Удэнский ЛВРЗ АО ""Желдорреммаш"""
61,АО «Рижский вагоностроительный завод»,Рижский ВСЗ
62,"Открытое акционерное общество ""Стахановский вагоностроительный завод""","ОАО ""Стахановский ВСЗ"""
63,"Открытое акционерное общество ""Торжокский вагоностроительный завод""","ОАО ""ТорВЗ"""
64,"ОАО ""Калибр"", г. Москва","ОАО ""Калибр"", г. Москва"
65,ПАО «НПП «Смелянский электромеханический завод»,Смелянский ЭМЗ
66,"Мариупольский металлургический завод ""Азовсталь""","МРГЗ ""Азовсталь"""
68,"Акционерное общество ""Барнаульский вагоноремонтный завод""","АО ""Барнаульский ВРЗ"""
69,"Открытое акционерное общество ""Октябрьский электровагоноремонтный завод""","ОАО ""ОЭВРЗ"""
72,"Вагонные колесные мастерские Пермь-Сортировочная вагонного ремонтного депо Пермь-Сортировочная- обособленного структурного подразделения акционерного общества ""Вагонная ремонтная компания-2""","ВКМ Пермь-Сортировочная АО ""ВРК-2"""
74,"Открытое акционерное общество ""Кировский завод""","ОАО ""Кировский завод"""
75,"Тамбовский вагоноремонтный завод - филиал Акционерного общества ""Вагонреммаш""","Тамбовский ВРЗ филиал АО ""ВРМ"""
76,"Воронежский вагоноремонтный завод - филиал Открытого акционерного общества ""Вагонреммаш""","Воронежский ВРЗ - филиал ОАО ""ВРМ"""
77,"Акционерное общество ""Калужский завод путевых машин и гидроприводов""","АО ""Калугапутьмаш"""
78,"Акционерное общество ""Верещагинский завод ""Ремпутьмаш"" по ремонту путевых машин и производству запасных частей""","АО ""Верещагинский ПМРЗ ""Ремпутьмаш"""
79,"Открытое акционерное общество ""Абдулинский завод ""Ремпутьмаш"" по ремонту путевых машин и производству запасных частей""","ОАО Абдулинский ПРМЗ ""Ремпутьмаш"""
82,"Киевский завод ""Ленинская кузница""","Завод ""Ленинская кузница"""
83,"Акционерное общество ""Днепровский завод по ремонту и строительству пассажирских вагонов""","АО ""Днепрвагонремстрой"""
84,"Акционерное общество ""Рославльский вагоноремонтный завод""","АО ""Рославльский ВРЗ"""
85,Бакинский вагоноремонтный завод,Бакинский ВРЗ
86,"Завод ""Красное Сормово""","Завод ""Красное Сормово"""
87,Нижегородский машиностроительный завод,Нижегородский МСЗ
89,"Ленинградское производственное объединение ""Ленвагонмаш""","ПО ""Ленвагонмаш"""
90,"Филиал ""Дарницкий вагоноремонтный завод"" Публичного Акционерного Общества ""Украинская железная дорога""","Филиал ""Дарницкий ВРЗ"" ПАО УЗ"
91,"Общество с ограниченной ответственностью ""Харьковский вагоностроительный завод""","ООО ""ХВСЗ"""
92,Таганрогский металлургический завод,Таганрогский МРГЗ
93,"Открытое акционерное общество ""Тверской вагоностроительный завод""","ОАО ""ТВЗ"""
94,Калужский турбинный завод,Калужский турбинный завод
97,Харьковский завод им.Малышева,Завод им.Малышева
98,"Общество с ограниченной ответственностью "" Жмеринский вагоноремонтный завод ""Экспресс""","ООО ""ЖВРЗ ""Экспресс"""
99,Московский вагоноремонтный завод,Московский ВРЗ
102,"Акционерное общество ""Московский локомотиворемонтный завод""","АО ""Московский ЛРЗ"""
103,Кузнецкий металлургический комбинат,Кузнецкий МРГК
104,"Общество с дополнительной ответственностью ""Попаснянский вагоноремонтный завод""","ОДО ""Попаснянский ВРЗ"""
105,"Новороссийский вагоноремонтный завод - филиал Акционерного общества ""ВАГОНРЕММАШ""","Новороссийский ВРЗ-филиал АО ""ВРМ"""
108,"Акционерное общество ""Промтрактор-Вагон""","АО ""Промтрактор-Вагон"""
110,"Открытое акционерное общество ""Минский вагоноремонтный завод""","ОАО ""ВРЗ Минск"""
112,"Открытое акционерное общество ""Ярославский вагоноремонтный завод"" ""Ремпутьмаш""","АО ""Ярославский ВРЗ ""Ремпутьмаш"""
114,"Вагонные колесные мастерские Похвистнево - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-3""","ВКМ Похвистнево АО ""ВРК-3"""
115,"Филиал ""Панютинский вагоноремонтный завод"" Публичного Акционерного Общества ""Украинская железная дорога""","Филиал ""Панютинский ВРЗ"" ПАО УЗ"
116,"Акционерное общество ""Владикавказский вагоноремонтный завод им. С.М. Кирова""","АО ""ВВРЗ им. С.М. Кирова"""
